,act,ap,awards,comments,country,courseload,decision,essay,ethnicity,extracurriculars,gender,gpa,hooks,ib,income,interview,jobexp,otherschools,rank,sat1,sat2,schooltype,state,strengths,summer,volunteer,weaknesses,whydecision
87,35,0,,,,"AP Cal, AP Bio, AP Lit, Psychology, Mythology, French II",A,I guess they were good.  I omitted the optional essay.  After I was deferred I wrote it.,caucasian,"Show Choir, Chamber Choir, Varsity Choir, President of Humane Society Club, Secretary of Future Medical Professionals, Historian of NHS, President of Ecology Club",M,4.0,hah,0,70000,It was nice.,Cotillion Teacher,"Emory, Ole Miss, Brown, Dartmouth, Penn, Columbia.  Rejected at Yale.  Waitlisted at Vanderbilt",0.0,0,"[800, 730, 720]",Public 350 students,MISSISSIPPI,No clue. I was really sincere.,Nothing,Nothing outside of clubs really,No clue,Luck. Mississippian.
88,0,0,,,,,W,,,,,0,,0,0,,,,0.0,0,0,,,,,,,
89,0,"[5, 5, 3]",None,,,"AP Physics C, AP Euro, AP Lit, AP Calc AB, AP Bio; Psychology Honors (1 semester)",W,"Personally, I don't think they were that good.",caucasian,Mostly stuff relating to a specific competition &amp; community service (several state &amp; international awards). No (clear) leadership positions.,F,4.0,None I'm aware of,0,0,n/a - was never contacted (I emailed the admissions office and got only a form response),Helping out with my mom's small business,"Accepted to BU (Honors), Northeastern (honors), UMass Amherst (honors), Brandeis. Waitlisted at American and Brown.",0.0,2250,"[800, 730]",Suburban public,MA,"Scores, GPA (although for Harvard, probably not really a strength...). A lot of community service",2 classes at BU (transcript sent),Lots of hours volunteering with a therapeutic horseback riding program,"Essays, ECs","I'm wondering if my lack of an interview might have left an incomplete picture of myself, although I'm sure there were plenty of other factors at play"
90,35,0,,,,,,good,hispanic,"Co-ed rec soccer, drama club, over 800 hours of service, NHS, SNHS",F,0,,0,0,,,,0.0,0,0,"Private, Catholic",,,,,,
91,0,"[5, 5, 2, 4]","Intel STS Semifinalist, Intel ISEF 4th place twice. Smaller stuff:national merit commended, ap scholar with distinction, rensselaer medalist.","Unless I get lucky tomorrow, I'll prob end up at Vanderbilt with a full ride! Overall, I am kinda disappointed with results. I thought with STS and ISEF, I'd at least get into one ivy. It is what it is though. Life goes on.",Canada. Canadian citizen living in the US.,6 APs,R,"Put a lot of time into them, hard to self evaluate though.",asian,"Scientific research, TSA (prez), Science Olympiad (prez), MUN, newspaper, random honors societies, and other stuff.",,4.0,none,0,0,Pretty good - laid back and informative.,N/A,,0.0,2280,[2400],Large public (2500ish),VA,"GPA, big awards, SAT IIs, ECs, essays?",Gov school and research at top 25 USN institution.,Over 300 hours at various places.,"SAT I, essays?",Tough competition.
92,36,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]","6x AIME, 1x USAJMO, 3x USAMO, 2x USNCO Top 150, NMF, Siemens Semifinalist, USACO Silver, 2x USABO Semifinalist, National AP Scholar, 4x ARML, many Science Olympiad awards, very many regional Math awards, various violin/piano concerto awards, some other stuff I can't remember right now",,USA,"AP Psychology (self-study), Organic Chemistry, Physics, Accounting and Business Courses",W,8 - I thought they were solid,asian,"Math Club (President), Science Olympiad (President, founder), FIRST Robotics (Treasurer, Programming Head), Science Volunteering program (President, founder), Cultural Club, Recreational Tennis, Swimming (was on team in 9th-10th grade but then ran out of time), National Honor Society, Art Club, Violin (independent study, many regional orchestras, many competitions), Piano (independent study, many competitions), 5 different chemistry, math, or physics research projects",M,4.0,,0,0,"3 - Did not connect at all, he also had no background knowledge of any of the competitions (like SO, USAMO, etc.) or research I had completed","Teacher Assistant/tutor for Chemistry, Accounting, and Calculus at college, NASA Research Associate, Violin/Piano performance, Private Tutor","Accepted: Cornell, Dartmouth, Duke, Johns Hopkins, UPenn, CalTech, Carnegie Mellon; Waitlisted: MIT, Harvard, Yale, Princeton; Rejected: None",0.0,2370,"[800, 800, 800, 800]",Public,,"Scores, extracurriculars, volunteering, I thought I was very well-rounded","Research in physics, chemistry, or biology at a college/university every year","(400+ hours total), volunteer at elementary school afterschool program, teach extracurricular science lessons, museum, hospital, tutoring","Counselor rec, essays? (I cant judge)",I guess they expected more or I was too much like their entire pool of asians wanting to do science
93,34,"[5, 5, 5]",,"Congratulations to all applicants, regardless of decision status. Despite our hiccups we'll keep pushing forward.We're all excellent student with plenty of discipline and drive. Simply coming this far is amazing. We're all gonna make it, I'm sure of it!",U.S.,"AP Micro, AP Macro, AP Lit, AP Physics B, AP Bio, AP Spanish Lang",A,"I poured my heart and soul into these suckers. I understand that their effect is entirely subjective, but I feel like my enthusiasm really stuck out.",hispanic,"Varsity Cross Country (I wrote my essays on how this extracurricular was integral for my weight loss), Track and Field, NHS, Peer Mentoring, Beta Tester, Transcribing music for my grandfather.",M,3.98,,0,0,,Farm Work/ Manual labor since the eight grade,,0.0,0,"[780, 760, 740]",Public,Southwest,I firmly believe that my first semester grades and essays pushed me out of the purgatory known as deferment.,Farm work and summer classes at the community college.,"Volunteer at local hospital for two summers, physician shadowing, volunteer at county courthouse. Additionally, I worked extensively with an orphanage in Central America.",My quantitative reasoning skills need some polishing.,"I'm a formerly overweight Hispanic looking to go into bariatric medicine. Apparently my niche needed to be filled. I am well aware of how integral my URM status has been, and continues to be, throughout my college application cycle. To claim otherwise would simply be insulting."
94,35,"[9, 7, 5, 2, 4]",,,,"3 APs, multi calc, honors spanish",A,,asian,"President of grade, State medalist in sport, captain of sport, conference record holder, leadership positions of bunch of clubs",M,4.0,,0,0,,Intern for Senate,,0.0,0,"[800, 790, 770]",,,"Though I'm not like a USAMO camp qualifier or Intel winner, I have decent level awards","research, swim, piano","Volunteer at Hospital, senior centers",race,Well rounded? idk
95,35,[5],"AP Scholar with Distinction, county science fair 2nd place",Congratulations to everyone who got in!,USA,"Journalism, Philosophy, AP Lit/Comp, AP Statistics, AP U.S. Government, AP Micro/Macroeconomics, AP Psychology",W,Probably 7-8 out of 10.,asian,"Yearbook (assistant editor), newspaper (news editor), film production, CSF (historian), county science fair (2nd place 2012), French Club (treasurer)",,4.0,Nope.,0,100000,"30 minutes, not much",None.,"Accepted to UC Berkeley (regents candidate but did not get the scholarship), UCLA, UCSD regents, UC Davis regents",0.00622083981337,2140,"[770, 750, 710]",Large public of ~3000 kids,CA,"ACT, essays",city library assistant,"Peer math tutor, city library assistant","ECs,",I'm typical.
96,0,0,"2012 Debate State 4th place 2013 State Champion, and two-time national forensic league All-American",,,"APs (chem, psych, lit, stats) calc, government, consumer ed, Debate/forensics",R,,caucasian,,M,0,"None. maybe location: 2nd poorest county in a pretty mediocre state. Also, my schools avg ACT scores are below the national and state averages. Don't know if that helps or hurts.",[4],0,not contacted,,,0.0,2250,"[720, 740]","Public, ultranon-competitive--last person to go to an ivy league school was 7 years ago (Cornell)",KS,"Leadership, GPA (they probably saw straight through this though.) SAT writing",,Boy Scouts and NHS = 200+ hrs,Math scores were low by Harvard standards. Essays.,
97,0,[2],NMSF,I CANNOT BELIEVE THIS SO EXCITED GUYS!!!!!!!!,,"Honors English, Honors Spanish, Chemistry II, Calculus, American History, Clay Design III, Economics, taking Calc II at community college",A,"Common App (7) was about my summer in Senegal and how hopeful the people are despite living in poverty we can't even imagine here in the US, which I found incredibly inspiring. Points for uniqueness, but im not a very good writer (english is not my first language :S). Addtl essay (8) was about my best friend, who is an undocumented immigrant and has gang ties, inspiring me to ""go outside the norms of society"" (basically to smoke weed, one time and I hated it, stay off drugs kids)",asian,"Chinese Overseas Young Communist League (Regional General Secretary), National Honor Society, Math Club (captain, there are three of us so we are captain vice captain and president <span class=""Emoticon Emoticon4""><span>:D</span></span>), Tennis",M,4.0,Communism?,0,200000,"Terrible - the interviewer basically badmouthed my school and classmates, saying she admired the teachers for doing what they can ""given practically nothing at all."" I told her off for that and she was taken aback, the interview ended abruptly",None (parents pay me to study lol #asianparents),"rejected Duke and UCLA, but suck it! Accepted to San Diego, Uchicago, waiting on Emory and Stanford",0.0,2190,"[750, 740, 710]","Large inner-city public - went to prestigious private for K-8 but my parents put me into public because they thought I'd look ""more competitive"" 9.9",Cali represent!,"SAT scores, volunteering in Senegal (+essay), coming from a large inner city public school with a high dropout rate, never sent a student to ivies, blah blah blah; I think the Communist thing was pretty unique also, it's something my parents have forced me do since I was little since they're card-carrying members","Volunteer program in Senegal, I basically paid them so I could work for free, but it was a great experience (summer junior year)","National Honor Society stuff, plus a project I participated in in Senegal over the summer, plus stuff I do with the COYCL. I'd say over 200 hours a year","Asian xD, also I am not a very good writer","I really hope it wasn't because they thought my school was bad and held me to lower standards because I am proud of my school, but I suspect it was..."
